symbol,year,anomaly
AXISBANK,Mar 2024,-1
BAJAJFINSV,Mar 2024,-1
BAJFINANCE,Mar 2024,-1
BANKBARODA,Mar 2014,-1
BANKBARODA,Mar 2018,-1
BANKBARODA,Mar 2023,-1
BANKBARODA,Mar 2024,-1
CANBK,Mar 2021,-1
CANBK,Mar 2023,-1
CANBK,Mar 2024,-1
HDFCBANK,Mar 2019,-1
HDFCBANK,Mar 2020,-1
HDFCBANK,Mar 2021,-1
HDFCBANK,Mar 2022,-1
HDFCBANK,Mar 2023,-1
HDFCBANK,Mar 2024,-1
ICICIBANK,Mar 2017,-1
ICICIBANK,Mar 2020,-1
ICICIBANK,Mar 2021,-1
ICICIBANK,Mar 2022,-1
ICICIBANK,Mar 2023,-1
ICICIBANK,Mar 2024,-1
IOC,Mar 2015,-1
IOC,Mar 2023,-1
IOC,Mar 2024,-1
IRFC,Mar 2020,-1
IRFC,Mar 2021,-1
IRFC,Mar 2022,-1
LICI,Mar 2019,-1
LICI,Mar 2020,-1
LICI,Mar 2021,-1
LICI,Mar 2022,-1
LICI,Mar 2023,-1
LICI,Mar 2024,-1
ONGC,Mar 2019,-1
ONGC,Mar 2022,-1
ONGC,Mar 2023,-1
ONGC,Mar 2024,-1
PFC,Mar 2018,-1
PFC,Mar 2019,-1
PFC,Mar 2020,-1
PFC,Mar 2021,-1
PFC,Mar 2023,-1
PFC,Mar 2024,-1
RECLTD,Mar 2024,-1
RELIANCE,Mar 2014,-1
RELIANCE,Mar 2015,-1
RELIANCE,Mar 2017,-1
RELIANCE,Mar 2018,-1
RELIANCE,Mar 2019,-1
RELIANCE,Mar 2020,-1
RELIANCE,Mar 2021,-1
RELIANCE,Mar 2022,-1
RELIANCE,Mar 2023,-1
RELIANCE,Mar 2024,-1
TATAMOTORS,Mar 2024,-1
TATASTEEL,Mar 2022,-1
TCS,Mar 2023,-1
TCS,Mar 2024,-1
UNIONBANK,Mar 2022,-1
