symbol,company_id_x,year_x,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,profit_margin,company_id_y,year_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_ratio,company_id,year,operating_cashflow,investing_activity,financing_activity,net_cash_flow,cashflow_strength,health_score,health_label
136,ADANIPORTS,Mar 2016,7109,2532,4577.0,64.0,730,1124,1063,3119,9.0,2856,14.0,8.0,40.16877637130802,ABB,Dec 2012,21.0,626,0,260,907,109,1,0,798,907,0.0,ADANIPOWER,Mar 2022,10233.0,774.0,-10338.0,669.0,1,76.06751054852322,GOOD
137,ADANIPORTS,Mar 2017,8439,3021,5418.0,64.0,1037,1116,1160,4179,7.0,3902,19.0,7.0,46.232227488151665,ABB,Mar 2014,21.0,767,0,351,1139,98,1,0,1040,1139,0.0,ADANIPOWER,Mar 2023,8431.0,1545.0,-10408.0,-433.0,1,78.49289099526067,GOOD
138,ADANIPORTS,Mar 2018,11323,4166,7157.0,63.0,844,1579,1188,5234,30.0,3690,18.0,11.0,32.58565877781703,ABB,Mar 2015,21.0,916,0,436,1374,96,4,0,1274,1374,0.0,ADANIPOWER,Mar 2024,14170.0,3481.0,-16864.0,787.0,1,73.03426351112681,GOOD
139,ADANIPORTS,Mar 2019,10925,4330,6596.0,60.0,1289,1385,1373,5126,21.0,4045,19.0,1.0,37.02178290316675,ABB,Mar 2016,21.0,1174,0,421,1616,108,3,0,1505,1616,0.0,AMBUJACEM,Dec 2012,1860.0,-388.0,-509.0,962.0,1,74.8087131612667,GOOD
140,ADANIPORTS,Mar 2020,11873,5926,5947.0,50.0,1928,1951,1680,4244,11.0,3785,19.0,17.0,31.876368536297793,ABB,Mar 2017,21.0,1366,0,679,2066,110,6,0,1950,2066,0.0,AMBUJACEM,Dec 2013,1267.0,-496.0,-672.0,99.0,1,72.75054741451912,GOOD
141,ADANIPORTS,Mar 2021,12550,3862,8688.0,69.0,1967,2255,2107,6292,20.0,5049,25.0,20.0,40.22787028921998,ABB,Mar 2018,21.0,1672,0,723,2416,81,2,0,2333,2416,0.0,AMBUJACEM,Dec 2014,1675.0,-456.0,-721.0,498.0,1,76.09114811568799,GOOD
142,ADANIPORTS,Mar 2022,17119,7591,9528.0,56.0,1832,2544,3099,5717,13.0,4953,23.0,22.0,28.93107476635514,ABB,Mar 2019,21.0,1987,0,932,2941,105,1,0,2835,2941,0.0,AMBUJACEM,Dec 2015,1557.0,-83.0,-900.0,574.0,1,71.57242990654206,GOOD
143,ADANIPORTS,Mar 2023,20852,9905,10947.0,52.0,327,2363,3425,5487,2.0,5391,25.0,20.0,25.85239533880017,ABB,Mar 2020,21.0,2410,175,940,3547,270,2,0,3275,3547,0.07258399004562423,AMBUJACEM,Dec 2016,2810.0,-4165.0,-958.0,-2312.0,1,70.31918293850637,GOOD
144,ADANIPORTS,Mar 2024,26711,11121,15589.0,58.0,671,2733,3888,9639,16.0,8104,38.0,16.0,30.33842467804732,ABB,Mar 2021,21.0,2581,153,1086,3840,251,1,0,3589,3840,0.0592563903950426,AMBUJACEM,Dec 2017,3416.0,-738.0,-1015.0,1663.0,1,72.11759295410042,GOOD
145,ADANIPORTS,TTM,28443,11278,17165.0,60.0,1039,2591,4053,11560,,9743,45.0,,34.253269582337225,ABB,Mar 2022,21.0,2799,152,1253,4224,271,1,0,3952,4224,0.054285714285714284,AMBUJACEM,Dec 2018,1703.0,-765.0,-719.0,220.0,1,73.68502211864917,GOOD
